word,count
amazing,164679
delicious,128602
awesome,98183
excellent,73199
favorite,72158
perfect,71504
highly,67425
atmosphere,53208
loved,51369
wonderful,51290
fun,48845
fantastic,47622
helpful,46104
selection,44456
spot,38621
tasty,37211
professional,36432
beautiful,35684
dessert,33195
quick,32997
enjoy,32513
chocolate,32361
cool,31923
pork,31366
enjoyed,30291
spicy,30132
perfectly,30086
reasonable,29357
local,28549
easy,28380
attentive,26829
comfortable,26147
flavors,25627
options,25463
cake,24846
style,24826
tacos,24768
glad,24378
phoenix,24012
tea,23703
thai,23407
lots,22972
green,22071
impressed,21771
bacon,21674
yummy,21405
fan,21087
salon,21057
mexican,20741
portions,20531
decor,20492
variety,20461
knowledgeable,20111
light,20043
chef,19716
incredible,19683
recommended,19578
warm,19293
bbq,19250
list,19140
rolls,19021
italian,18935
helped,18650
unique,18636
remember,18563
french,18539
weekend,18497
de,18474
massage,18150
die,18121
crab,17913
outstanding,17791
hands,17676
la,17502
exactly,17466
choose,17269
view,17205
plenty,17136
sandwiches,16950
seating,16948
garlic,16780
etc,16733
choice,16732
questions,16652
burgers,16600
more,16590
bite,16562
patio,16548
mouth,16503
crispy,16421
flavorful,16376
egg,16369
city,16290
valley,16161
potatoes,16089
authentic,16082
tender,15962
priced,15809
grilled,15722
ingredients,15704
worked,15690
potato,15580
butter,15504
ambiance,15267
watch,15146
appetizer,15132
greeted,15106
prepared,14938
main,14893
dogs,14804
forward,14705
salmon,14560
located,14526
wedding,14524
evening,14522
class,14520
lobster,14507
eggs,14485
owners,14430
honest,14422
pleasant,14408
sunday,14266
eaten,14232
fabulous,14229
did,14165
type,14150
seafood,14132
yes,14119
surprised,14037
scottsdale,14036
feeling,13893
hit,13881
treat,13724
black,13641
cute,13591
space,13554
soft,13485
pasta,13449
park,13354
packed,13344
brunch,13308
wow,13291
salsa,13268
try,13219
chinese,13123
team,13013
boyfriend,13008
true,12971
including,12896
beans,12838
bowl,12797
level,12791
mac,12734
portion,12699
play,12661
specials,12647
share,12562
curry,12535
though,12530
casino,12510
show,12507
homemade,12484
fair,12448
